link_code,sgg_cd,emd_cd,node_wkt,tp_br,tp_pk,tp_sw,link_id,type,sgg_nm,tp_in,tp_uw,node_id,tp_tn,tp_hw,emd_nm,node_code,end_node_id,link_wkt,link_len,tp_cw
,1117000000,1117013100,POINT(127.00586356710393 37.52976766560069),,,0,0,NODE,⑹궛援,,,179021,,,쒕궓,0,,,,0
,1117000000,1117011700,POINT(126.95704021917948 37.534822977701815),,,0,0,NODE,⑹궛援,,,62797,,,먰슚濡3媛,0,,,,0
,1117000000,1117012300,POINT(126.96651810789096 37.53718673670479),,,0,0,NODE,⑹궛援,,,157911,,,좉퀎,0,,,,0
,1117000000,1117013100,POINT(127.00609317715393 37.529799923204706),,,0,0,NODE,⑹궛援,,,179020,,,쒕궓,0,,,,0
,1117000000,1117011700,POINT(126.9577436206384 37.53491659673063),,,0,0,NODE,⑹궛援,,,62798,,,먰슚濡3媛,0,,,,0
,1117000000,1117012300,POINT(126.96627973515217 37.536826085987016),,,0,0,NODE,⑹궛援,,,157912,,,좉퀎,0,,,,0
,1117000000,1117013100,POINT(127.00460560746772 37.53842832580827),,,0,0,NODE,⑹궛援,,,178230,,,쒕궓,0,,,,0
,1117000000,1117011700,POINT(126.95791730558004 37.5351967544762),,,0,0,NODE,⑹궛援,,,62799,,,먰슚濡3媛,0,,,,0
,1117000000,1117011300,POINT(126.96422207593008 37.536403727284394),,,0,0,NODE,⑹궛援,,,157913,,,먰슚濡2媛,0,,,,0
,1117000000,1117013100,POINT(127.00468385787937 37.53823954462046),,,0,0,NODE,⑹궛援,,,178231,,,쒕궓,0,,,,0
,1117000000,1117012400,POINT(126.97373487402831 37.53490000281952),,,0,0,NODE,⑹궛援,,,47346,,,쒓컯濡1媛,0,,,,0
,1117000000,1117011300,POINT(126.96444845377778 37.5364585269887),,,0,0,NODE,⑹궛援,,,157914,,,먰슚濡2媛,0,,,,0
,1117000000,1117013100,POINT(127.00521029663314 37.53836198551525),,,0,0,NODE,⑹궛援,,,178232,,,쒕궓,0,,,,0
,1117000000,1117012300,POINT(126.96866602296411 37.534538389408674),,,0,0,NODE,⑹궛援,,,64375,,,좉퀎,0,,,,0
,1117000000,1117012800,POINT(126.96094621954684 37.523385354809996),,,0,0,NODE,⑹궛援,,,158095,,,쒓컯濡3媛,0,,,,0
,1117000000,1117013100,POINT(127.00589347295076 37.53834782305662),,,0,0,NODE,⑹궛援,,,178233,,,쒕궓,0,,,,0
,1117000000,1117012400,POINT(126.97378487112415 37.53478066921043),,,0,0,NODE,⑹궛援,,,47347,,,쒓컯濡1媛,0,,,,0
,1117000000,1117010700,POINT(126.97237378126721 37.55110205942252),,,0,0,NODE,⑹궛援,,,137612,,,숈옄,0,,,,1
,1117000000,1117013600,POINT(127.00231137916381 37.528293632581885),,,0,0,NODE,⑹궛援,,,176802,,,蹂닿킅,0,,,,0
,1117000000,1117012300,POINT(126.96846718450327 37.53538283508909),,,0,0,NODE,⑹궛援,,,64374,,,좉퀎,0,,,,0
,1117000000,1117010800,POINT(126.96434971581135 37.55071332976305),,,0,0,NODE,⑹궛援,,,143231,,,쒓퀎,0,,,,0
,1117000000,1117013600,POINT(127.00213987576332 37.528365034794916),,,0,0,NODE,⑹궛援,,,176801,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96421822989223 37.54879122777649),,,0,0,NODE,⑹궛援,,,63435,,,泥뙆1媛,0,,,,0
,1117000000,1117010800,POINT(126.96463568415864 37.550597068236804),,,0,0,NODE,⑹궛援,,,143232,,,쒓퀎,0,,,,0
,1117000000,1117013600,POINT(127.00217107200615 37.52882757542972),,,0,0,NODE,⑹궛援,,,176800,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96438873900978 37.5489080694624),,,0,0,NODE,⑹궛援,,,63434,,,泥뙆1媛,0,,,,0
,1117000000,1117011400,POINT(126.95493510315409 37.53535694800675),,,0,0,NODE,⑹궛援,,,147450,,,좎갹,0,,,,0
,1117000000,1117013600,POINT(127.00190601499102 37.52877791115246),,,0,0,NODE,⑹궛援,,,176799,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96462076125403 37.548794065119495),,,0,0,NODE,⑹궛援,,,63433,,,泥뙆1媛,0,,,,0
,1117000000,1117010800,POINT(126.96521360268132 37.55115874313856),,,0,0,NODE,⑹궛援,,,143233,,,쒓퀎,0,,,,0
,1117000000,1117013600,POINT(127.00206193849505 37.529085234550614),,,0,0,NODE,⑹궛援,,,176798,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96454566004708 37.54890540063372),,,0,0,NODE,⑹궛援,,,63432,,,泥뙆1媛,0,,,,0
,1117000000,1117010800,POINT(126.96509000932934 37.550508678144475),,,0,0,NODE,⑹궛援,,,143234,,,쒓퀎,0,,,,0
,1117000000,1117013600,POINT(127.00244392695832 37.52893311640855),,,0,0,NODE,⑹궛援,,,176797,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96443310912564 37.54885919394017),,,0,0,NODE,⑹궛援,,,63431,,,泥뙆1媛,0,,,,0
,1117000000,1117010800,POINT(126.965588613313 37.55084522059581),,,0,0,NODE,⑹궛援,,,143235,,,쒓퀎,0,,,,0
,1117000000,1117013600,POINT(127.00262322343436 37.52875616727679),,,0,0,NODE,⑹궛援,,,176796,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96471957996 37.54902495891355),,,0,0,NODE,⑹궛援,,,63430,,,泥뙆1媛,0,,,,0
,1117000000,1117013000,POINT(126.99054553872037 37.54286166134494),,,0,0,NODE,⑹궛援,,,146907,,,댄깭먮룞,0,,,,0
,1117000000,1117013600,POINT(127.00260762707157 37.528616473972065),,,0,0,NODE,⑹궛援,,,176795,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96452163162432 37.54922045517705),,,0,0,NODE,⑹궛援,,,63429,,,泥뙆1媛,0,,,,0
,1117000000,1117012800,POINT(126.96091767561208 37.52343531516575),,,0,0,NODE,⑹궛援,,,158094,,,쒓컯濡3媛,0,,,,0
,1117000000,1117013600,POINT(127.00250628001838 37.52854197288485),,,0,0,NODE,⑹궛援,,,176794,,,蹂닿킅,0,,,,0
,1117000000,1117010900,POINT(126.96586926505205 37.54885961779243),,,0,0,NODE,⑹궛援,,,63428,,,泥뙆1媛,0,,,,0
,1117000000,1117012800,POINT(126.96072360990014 37.523710084668224),,,0,0,NODE,⑹궛援,,,158093,,,쒓컯濡3媛,0,,,,0
,1117000000,1117013600,POINT(127.00281421674251 37.52868786820711),,,0,0,NODE,⑹궛援,,,176793,,,蹂닿킅,0,,,,0
