link_code,sgg_cd,emd_cd,node_wkt,tp_br,tp_pk,tp_sw,link_id,type,sgg_nm,tp_in,tp_uw,node_id,tp_tn,tp_hw,emd_nm,node_code,end_node_id,link_wkt,link_len,tp_cw,strt_node_id
1111,1117000000,1117013300,,0,0,0,100623,LINK,⑹궛援,0,0,0,0,0,쒕튃怨좊룞,,169554,"LINESTRING(126.98992252168568 37.51911925287076,126.99045690706703 37.519268576345794,126.99089577009045 37.51937092394213,126.99113126001745 37.51940930921614)",111.739,0,155997
1111,1117000000,1117010200,,0,0,0,267483,LINK,⑹궛援,0,0,0,0,0,⑹궛2媛,,67123,"LINESTRING(126.98434381205512 37.54595534538553,126.98403084314613 37.54625797721514)",43.51,0,74808
1111,1117000000,1117011500,,0,0,0,112712,LINK,⑹궛援,0,0,0,0,0,곗쿇,,151944,"LINESTRING(126.95147423859653 37.53448920749987,126.95170287232885 37.53456089951694)",21.718,0,151943
1111,1117000000,1117013100,,0,0,0,265402,LINK,⑹궛援,0,0,0,0,0,쒕궓,,176733,"LINESTRING(126.99863516894222 37.53337359641831,126.99888335550648 37.533641836807085)",36.98,0,176773
1000,1117000000,1117013000,,0,0,0,16168,LINK,⑹궛援,1,0,0,0,0,댄깭먮룞,,160591,"LINESTRING(126.99639705542408 37.53193959231267,126.99627979056606 37.53188044223014)",12.269,0,160594
1111,1117000000,1117013100,,0,0,0,267478,LINK,⑹궛援,0,0,0,0,0,쒕궓,,66646,"LINESTRING(127.00350009280376 37.540019726686246,127.00337663758964 37.54002701221787,127.00333090521181 37.53984496508858,127.00314801022245 37.53988502076047,127.00323947105215 37.54017265479877)",81.241,0,66647
1111,1117000000,1117012100,,0,0,0,107591,LINK,⑹궛援,0,0,0,0,0,⑸Ц,,156067,"LINESTRING(126.96170897598354 37.53907809026095,126.96263198363484 37.538853266533884)",85.306,0,152819
1111,1117000000,1117010100,,0,0,0,267406,LINK,⑹궛援,0,0,0,0,0,꾩븫,,65225,"LINESTRING(126.97683333534813 37.54581068317394,126.97738611268498 37.545885140550745)",49.544,0,65223
1111,1117000000,1117012800,,0,0,0,128424,LINK,⑹궛援,0,0,0,0,0,쒓컯濡3媛,,163079,"LINESTRING(126.96488383545797 37.52240870399895,126.96456072746635 37.522613374308754)",36.494,0,163078
1111,1117000000,1117013100,,0,0,0,267317,LINK,⑹궛援,0,0,0,0,0,쒕궓,,176526,"LINESTRING(127.00185265057515 37.53889539952869,127.00228871036961 37.53888307859525)",38.563,0,176525
1111,1117000000,1117012800,,0,0,0,138890,LINK,⑹궛援,0,0,0,0,0,쒓컯濡3媛,,152755,"LINESTRING(126.9575812074479 37.532582406941216,126.95778359563492 37.532134969994836)",52.784,0,152750
1111,1117000000,1117011900,,0,0,0,267779,LINK,⑹궛援,0,0,0,0,0,⑥갹,,145854,"LINESTRING(126.95971170408488 37.54283619211268,126.9597082185177 37.54297470959888)",15.377,0,145853
1111,1117000000,1117013000,,0,0,0,138896,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,65679,"LINESTRING(126.98949968954079 37.53726817978949,126.98930426481614 37.53685467134931,126.98934094136509 37.53668927829647)",67.677,0,65688
1111,1117000000,1117013600,,0,0,0,268706,LINK,⑹궛援,0,0,0,0,0,蹂닿킅,,176935,"LINESTRING(127.00062167907204 37.53049615651622,127.00091792224562 37.530316105044285)",32.939,0,176911
1111,1117000000,1117013000,,0,0,0,112645,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,145491,"LINESTRING(126.9897475994511 37.53562257886714,126.98958818096146 37.53555444106023)",15.991,0,148861
1111,1117000000,1117013100,,0,0,0,112628,LINK,⑹궛援,0,0,0,0,0,쒕궓,,179062,"LINESTRING(127.00564407513217 37.52873743572469,127.00567135578453 37.52867845265469,127.0055778008725 37.52859774522291)",19.167,0,179055
1111,1117000000,1117010200,,0,0,0,137777,LINK,⑹궛援,0,0,0,0,0,⑹궛2媛,,65236,"LINESTRING(126.98313034847233 37.54586699292098,126.9832025804053 37.545863169072874,126.98363596179117 37.54588623479818)",44.781,0,65235
1111,1117000000,1117011900,,0,0,0,260675,LINK,⑹궛援,0,0,0,0,0,⑥갹,,74290,"LINESTRING(126.96101614411576 37.54711207965295,126.96099520816382 37.547069162668016)",5.11,0,14570
1111,1117000000,1117011700,,0,0,0,110783,LINK,⑹궛援,0,0,0,0,0,먰슚濡3媛,,152679,"LINESTRING(126.95563767415588 37.53428158461748,126.95552043647417 37.53427510153618,126.95545977708905 37.53430405409725,126.95522529593251 37.53430074593735,126.95511211650519 37.53426850805735)",47.989,0,152678
1111,1117000000,1117013100,,0,0,0,255936,LINK,⑹궛援,0,0,0,0,0,쒕궓,,176678,"LINESTRING(127.00124824497178 37.53241076515041,127.00134752002255 37.532416411171624,127.0014077955363 37.53249264648312)",18.796,0,176679
1111,1117000000,1117013000,,0,0,0,112556,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,148583,"LINESTRING(126.98954825881808 37.54002019465805,126.98964300811332 37.54009237798798,126.98979949545178 37.54061812071237)",71.557,0,148682
1111,1117000000,1117012800,,0,0,0,138325,LINK,⑹궛援,0,0,0,0,0,쒓컯濡3媛,,163090,"LINESTRING(126.96311700723986 37.522723191338265,126.96295232696995 37.5224763695329)",31.022,0,163089
1111,1117000000,1117010100,,0,0,0,265981,LINK,⑹궛援,0,0,0,0,0,꾩븫,,57675,"LINESTRING(126.97857366138186 37.5505409319522,126.9788389277603 37.55069029892948)",28.71,0,57674
1111,1117000000,1117013000,,0,0,0,111858,LINK,⑹궛援,0,0,0,0,0,댄깭먮룞,,143926,"LINESTRING(126.98985634244694 37.53661657720646,126.98970079153925 37.53668468758991)",15.689,0,148854
